Player,Nation,Pos,Squad,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Rating,Maç,Gol,xG,Penaltı Golü,Asist,Kırmızı Kart,Sarı Kart,Şut/Maç,İsabetli Şut/Maç,Yaratılan B.Şans,Kaçırılan B.Şans,Dribbling/Maç,B.Dribbling/Maç,Direğe Vuruş,Hızlı Hücum,Hızlı Hücum Golü,Engellenen Şut,Kilit Pas/Maç,Pas/Maç,B.Pas/Maç,Orta/Maç,B.Orta/Maç,Uzun Top/Maç,B.Uzun Top/Maç,S.Üçte Pas/Maç,Top Kapma/Maç,Müdahale/Maç,Uzaklaştırma/Maç,İkili Müc. Kazanma %,Faul,Aldığı Faul,Gol_P90,xG_P90,Penaltı Golü_P90,Asist_P90,Kırmızı Kart_P90,Sarı Kart_P90,Yaratılan B.Şans_P90,Kaçırılan B.Şans_P90,Direğe Vuruş_P90,Hızlı Hücum_P90,Hızlı Hücum Golü_P90,Engellenen Şut_P90,Faul_P90,Aldığı Faul_P90,PozGrup,League
Brenden Aaronson,us USA,"MF,FW",Leeds United,25,36,29,2360,6.85,36,4,5.64,0,5,0,2,1.19,0.44,10,6,2.22,0.83,2,6,1,16,0.92,17.83,14.42,1.0,0.28,0.83,0.19,1.14,1.36,0.42,0.44,40.1,19,50,0.1525423728813559,0.2150847457627118,0.0,0.1906779661016949,0.0,0.0762711864406779,0.3813559322033898,0.2288135593220338,0.0762711864406779,0.2288135593220338,0.0381355932203389,0.6101694915254237,0.7245762711864406,1.906779661016949,10 No/Kanat,Premier League
Tyler Adams,us USA,MF,Bournemouth,27,24,20,1683,6.91,24,2,0.65,0,2,0,8,0.38,0.25,2,0,0.5,0.25,0,1,1,2,0.29,39.54,34.42,0.13,0.08,3.67,1.54,4.29,1.96,1.29,1.75,49.4,33,12,0.106951871657754,0.03475935828877,0.0,0.106951871657754,0.0,0.4278074866310161,0.106951871657754,0.0,0.0,0.053475935828877,0.053475935828877,0.106951871657754,1.7647058823529411,0.6417112299465241,Orta Saha,Premier League
Amine Adli,ma MAR,MF,Bournemouth,26,30,10,1075,6.83,30,3,2.15,0,1,0,2,0.67,0.3,2,4,0.7,0.27,1,3,0,6,0.53,13.57,10.47,1.33,0.07,0.43,0.07,1.3,1.13,0.2,0.57,53.4,29,22,0.2511627906976744,0.18,0.0,0.0837209302325581,0.0,0.1674418604651162,0.1674418604651162,0.3348837209302325,0.0837209302325581,0.2511627906976744,0.0,0.5023255813953489,2.427906976744186,1.8418604651162789,Orta Saha,Premier League
Kristoffer Ajer,no NOR,DF,Brentford,28,27,20,1810,6.74,27,0,0.83,0,1,0,4,0.37,0.11,1,1,0.41,0.11,0,0,0,2,0.15,26.15,20.93,0.26,0.04,4.59,1.22,2.85,1.37,0.67,4.41,54.6,23,5,0.0,0.0412707182320442,0.0,0.0497237569060773,0.0,0.1988950276243094,0.0497237569060773,0.0497237569060773,0.0,0.0,0.0,0.0994475138121547,1.143646408839779,0.2486187845303867,Stoper/Bek,Premier League
Carlos Alcaraz,ar ARG,MF,Everton,23,19,6,682,6.54,19,0,1.5,0,1,0,4,1.0,0.26,2,1,0.74,0.32,1,2,0,8,0.47,15.58,12.68,0.26,0.11,1.11,0.63,1.58,0.68,0.16,0.37,43.8,9,11,0.0,0.1979472140762463,0.0,0.1319648093841642,0.0,0.5278592375366569,0.2639296187683284,0.1319648093841642,0.1319648093841642,0.2639296187683284,0.0,1.0557184750733135,1.187683284457478,1.4516129032258065,Orta Saha,Premier League
Omar Alderete,py PAR,DF,Sunderland,29,33,32,2798,6.88,33,1,1.68,0,1,0,6,0.73,0.27,1,2,0.64,0.52,3,0,0,7,0.27,39.52,32.03,0.33,0.09,7.55,2.73,5.67,0.97,1.09,6.58,54.3,34,10,0.0321658327376697,0.0540385989992852,0.0,0.0321658327376697,0.0,0.1929949964260185,0.0321658327376697,0.0643316654753395,0.0964974982130092,0.0,0.0,0.2251608291636883,1.093638313080772,0.3216583273766976,Stoper/Bek,Premier League
Ethan Ampadu,wls WAL,MF,Leeds United,25,34,34,3029,7.01,34,1,1.98,0,1,0,9,0.76,0.18,1,3,0.5,0.35,0,1,0,11,0.53,49.09,41.88,0.74,0.26,6.18,2.85,6.21,2.32,1.47,2.35,62.2,49,35,0.0297127764938923,0.0588312974579069,0.0,0.0297127764938923,0.0,0.2674149884450313,0.0297127764938923,0.0891383294816771,0.0,0.0297127764938923,0.0,0.3268405414328161,1.4559260482007264,1.0399471772862332,Orta Saha,Premier League
Joachim Andersen,dk DEN,DF,Fulham,29,33,33,2875,6.98,33,0,1.63,0,1,1,7,0.48,0.12,3,2,0.21,0.18,1,0,0,3,0.21,68.94,59.33,0.45,0.12,14.39,5.73,9.88,1.36,1.09,6.94,63.5,31,13,0.0,0.0510260869565217,0.0,0.0313043478260869,0.0313043478260869,0.2191304347826086,0.0939130434782608,0.0626086956521739,0.0313043478260869,0.0,0.0,0.0939130434782608,0.9704347826086956,0.4069565217391304,Stoper/Bek,Premier League
André,br BRA,MF,Wolves,24,34,29,2672,6.78,34,1,0.43,0,0,0,12,0.41,0.03,2,0,1.0,0.56,0,0,0,9,0.53,37.91,34.65,1.18,0.29,2.79,1.79,4.03,2.29,0.85,1.44,51.1,45,42,0.0336826347305389,0.0144835329341317,0.0,0.0,0.0,0.404191616766467,0.0673652694610778,0.0,0.0,0.0,0.0,0.3031437125748503,1.5157185628742516,1.4146706586826348,Orta Saha,Premier League
Jaidon Anthony,eng ENG,MF,Burnley,26,36,31,2638,6.88,36,8,5.04,0,2,0,4,1.47,0.61,7,3,2.61,0.94,2,7,1,13,0.97,23.58,18.75,2.08,0.39,1.89,0.78,2.06,1.17,0.42,0.72,41.7,27,44,0.2729340409401061,0.1719484457922668,0.0,0.0682335102350265,0.0,0.136467020470053,0.2388172858225929,0.1023502653525398,0.0682335102350265,0.2388172858225929,0.0341167551175132,0.4435178165276724,0.9211523881728582,1.501137225170584,Orta Saha,Premier League
